date,member_name,is_present
2024-05-07,Eric Chua,False
2024-05-07,Mariam Jaafar,False
2024-05-07,Ng Eng Hen,False
2024-05-07,Josephine Teo,False
2024-05-07,Seah Kian Peng,True
2024-05-07,Ang Wei Neng,True
2024-05-07,Baey Yam Keng,True
2024-05-07,Chan Chun Sing,True
2024-05-07,Cheryl Chan Wei Ling,True
2024-05-07,Usha Chandradas,True
2024-05-07,Chee Hong Tat,True
2024-05-07,Edward Chia Bing Hui,True
2024-05-07,Chong Kee Hiong,True
2024-05-07,Desmond Choo,True
2024-05-07,Keith Chua,True
2024-05-07,Chua Kheng Wee Louis,True
2024-05-07,Darryl David,True
2024-05-07,Christopher de Souza,True
2024-05-07,Foo Mee Har,True
2024-05-07,Grace Fu Hai Yien,True
2024-05-07,Gan Kim Yong,True
2024-05-07,Gan Siow Huang,True
2024-05-07,Gan Thiam Poh,True
2024-05-07,Gerald Giam Yean Song,True
2024-05-07,Derrick Goh,True
2024-05-07,He Ting Ru,True
2024-05-07,Heng Chee How,True
2024-05-07,Heng Swee Keat,True
2024-05-07,Shawn Huang Wei Zhong,True
2024-05-07,Indranee Rajah,True
2024-05-07,Janil Puthucheary,True
2024-05-07,Amy Khor Lean Suan,True
2024-05-07,Koh Poh Koon,True
2024-05-07,Kwek Hian Chuan Henry,True
2024-05-07,Desmond Lee,True
2024-05-07,Lee Hsien Loong,True
2024-05-07,Mark Lee,True
2024-05-07,Leong Mun Wai,True
2024-05-07,Liang Eng Hwa,True
2024-05-07,Lim Biow Chuan,True
2024-05-07,Jamus Jerome Lim,True
2024-05-07,Sylvia Lim,True
2024-05-07,Lim Wee Kiak,True
2024-05-07,Low Yen Ling,True
2024-05-07,Masagos Zulkifli B M M,True
2024-05-07,Mohamad Maliki Bin Osman,True
2024-05-07,Mohd Fahmi Aliman,True
2024-05-07,Muhamad Faisal Bin Abdul Manap,True
2024-05-07,Dr Muhammad Faishal Ibrahim,True
2024-05-07,Murali Pillai,True
2024-05-07,Nadia Ahmad Samdin,True
2024-05-07,Louis Ng Kok Kwang,True
2024-05-07,Ng Ling Ling,True
2024-05-07,Ong Hua Han,True
2024-05-07,Rachel Ong,True
2024-05-07,Ong Ye Kung,True
2024-05-07,Neil Parekh Nimil Rajnikant,True
2024-05-07,Joan Pereira,True
2024-05-07,Denise Phua Lay Peng,True
2024-05-07,Hazel Poa,True
2024-05-07,Poh Li San,True
2024-05-07,Pritam Singh,True
2024-05-07,Rahayu Mahzam,True
2024-05-07,Razwana Begum Abdul Rahim,True
2024-05-07,Saktiandi Supaat,True
2024-05-07,See Jinli Jean,True
2024-05-07,K Shanmugam,True
2024-05-07,Sharael Taha,True
2024-05-07,Sim Ann,True
2024-05-07,Sitoh Yih Pin,True
2024-05-07,Hany Soh,True
2024-05-07,Sun Xueling,True
2024-05-07,Syed Harun Alhabsyi,True
2024-05-07,Alvin Tan,True
2024-05-07,Carrie Tan,True
2024-05-07,Desmond Tan,True
2024-05-07,Tan Kiat How,True
2024-05-07,Dennis Tan Lip Fong,True
2024-05-07,Tan See Leng,True
2024-05-07,Jessica Tan Soon Neo,True
2024-05-07,Tan Wu Meng,True
2024-05-07,Patrick Tay Teck Guan,True
2024-05-07,Teo Chee Hean,True
2024-05-07,Raj Joshua Thomas,True
2024-05-07,Tin Pei Ling,True
2024-05-07,Edwin Tong Chun Fai,True
2024-05-07,Vikram Nair,True
2024-05-07,Vivian Balakrishnan,True
2024-05-07,Wan Rizal,True
2024-05-07,Don Wee,True
2024-05-07,Lawrence Wong,True
2024-05-07,Xie Yao Quan,True
2024-05-07,Alex Yam,True
2024-05-07,Yeo Wan Ling,True
2024-05-07,Yip Hon Weng,True
2024-05-07,Melvin Yong Yik Chye,True
2024-05-07,Zaqy Mohamad,True
2024-05-07,Zhulkarnain Abdul Rahim,True
